넘치도록	버래기
 소나기	비주제 
 무지개	상고지 
 안개	우네 
 공기	노릇 
 나무그늘	낭강알 
 달	돌 
 별	밸 
 돌맹이	돌생기 
 자갈밭	작지왓 
 방	구들 
 화장실	통시 
 화장실	벤소 
 줄	석 
 작은밭	밭돌랭이 
 한 달	돌 
머리	데맹이
어깨	우뚝지
무릎	동무릅
발	발꼽데기
같이 가요 함께 해요	고찌 글라 고찌 가게 
너와 함께 하면 즐거움이 열배야	느영 고찌 글민 지꺼짐이 열배여
같이 가요 함께 해요	고찌 글라 고찌 가게 
너와 함께 하면 즐거움이 백배야	느영 고찌 글민 지꺼짐이 백배여
이렇게 예쁜 날 공기 좋고 사람 좋고	영도 곱닥헌 날 공기 좋고 사람 좋고
너와 함께 하니 무슨 걱정 있으랴	느영 나영 고찌 글민 무신 걱정시냐 
많이 말하면 잔소리야	하영 골민 존다니
먹다 보니 살게 되고 살다 보니 먹게 되지	먹당 보난 살아 지곡 살당 보난 먹어 져라
굶어 보면 알게 되지 배고픔도 인생인 걸	굶엉 보난 알아 져라 배고픔도 인생인 걸
없으면 없는대로 그저 그렇게 살고	어시민 어신양 그저 겅 살곡
있으면 있는대로 나누면서 살지	이시민 이신양 나누멍 살주
먹어볼만한 살아볼만한 세상	먹엄직이 살암직이 시상
웃으며 사는 세상이 사람 사는 세상이지	우시멍 사는 시상이 사름 사는 시상이주
울다 보니 살게 되었지	울당 보난 살아 져라 
웃다 보니 살게 되었지	웃당 보난 살아 져라
우는 삶도 웃는 삶도 고마운 인생이지	우는 삶도 웃는 삶도 고마운 인생이주
없으면 없는대로 그저 그렇게 살고	어시민 어신양 그저 겅 살곡
있으면 있는대로 나누면서 살지	이시민 이신양 나누멍 살주
먹어 볼만한 살아 볼만한 세상	먹엄직이 살암직이 시상
웃으며 사는 세상이 사람 사는 세상이지	우시멍 사는 시상이 사름 사는 시상이주
무명천 할머니 어디 가십니까	무명천 할머니 어디 감수과
무명천 할머니 편안 하십니까	무명천 할머니 펜안 허우꽈
4. 3 사건때 총 맞아서 턱을 잃었네 그렇게 살았네	4. 3 소건때 총 맞앙 턱을 잃엉 경 살았주
55년 간 말도 못하고 음식도 못 먹으면서 	55년 간 말도 못허곡 음식도 못 먹으멍
상처 난 얼굴 보일 수 없어 무명천을 둘렀네	상처 난 얼굴 보일 수 어성 무명천을 둘렁
목숨은 건졌지만 살아도 산게 아니었네 	목심은 건졌주만 살아도 산게 아니랐주
무명천 할머니 라고 날 불렀지만	무명천 할망 이랜 날 불렀주만 
내게도 이름이 있었네	나신디도 이름이 이서났주 
진아영 입니다	진아영 이우다
무채 썰어 끓는물에 데쳐	놈삐 좀질게 썰엉 솖앙
파와 깨가루 넣어 섞어서	패마농이영 꿰고루 놩 섞엉
메밀가루 반죽하여 얇게 지져	모멀고루 풀엉 얄룹게 지졍
그 위에 놓고 말면	그 우터레 놩 몰민
빙떡 이지	빙떡 이주게
앞뒤분간못하고 어디로 가려고 하니	두렁청이 어드레 가젠 햄시냐 
예쁘게 차려입고 이쪽으로 와서는	곱들락호게 촐려입어그네 이드레 와그네
너와내가 한데모여서 힘껏 달리자	느영나영 모다들어그네 터졍 도르게
수줍게웃으며 모두 쳐다보니 정다워지네	빙삭허게 몬딱 베리난 보뎌감시녜
달려라 걱정하지 말고 달려라 모두 달려라	도르라 조들지 마랑 도르라 몬딱 도르라
화를 내며 다퉈 보니까 알겠니?	용심 내멍 도톼 보난 알아졈시냐
너와내가 경쟁해 봐야 감정상하기만할 뿐이네	느영나영 심벡 해봐사 페들락 햄시녜
돈이 많은 척 잘난 척 점 잖은 척	돈 한 추룩 뺄라진 추룩 오시록 헌 추룩
그렇게 해 봐야 삐칠 뿐이니 달어 돌아다니자	경 해 봐사 핏짝 허난 얼렁 뎅기게
달려라 걱정하지 말고 달려라 모두 달려라	도르라 조들지 마랑 도르라 몬딱 도르라
아야 머리야 아야 머리야	아야 머리여 아야 머리여
입담하며 두들기노라면	입담허멍 두드렴시민
숟가락 자루 거꾸로 잡고	수꾸락 조루 거수루 심엉
채롱 옆을 두들기노라면	차반이 바위 두드렴시민
굵다란 말개미들이	훌구룽 몰케염지덜
사방으로 흩어지고	고루삭삭 삐어지국
어떻게하지 어떻게하지	어떵허코 어떵허코
학교 가는길에 오줌을 쌌어	핵교 가당 오줌 싸비언
어떻게하지 어떻게하지	어떵허코 어떵허코
어떻게 하지 어떻게 하지	어떵 허코 어떵 허코
참다가 참다가 참지 못해 나와버렸어	촘당 촘당 촘지 못행 나와부런게
어떻게 하지 어떻게 하지	어떵 허코 어떵 허코
비가 내리니 비 맞았다고 말하렴.	비가 왐시난 비 맞았덴 골라게
나오는 걸 어떻게 할 수 있겠니	나오는 걸 어떵 헐 수 이시냐
어떻게 하지 어떻게 하지	어떵 허코 어떵 허코
게를 잡다가 미끄러졌어	겡이 잡당 맨질락허연
어떻게 하지 어떻게 하지	어떵 허코 어떵 허코
어쩌다가 어쩌다가	어떵허당 어떵허당
숨어있는 게를 기다리다가 갑자기 덮쳤지	곱은 겡이 지달리당 와락 덮쳤주
그래서 어떻게 되었어	경해그네 어떵 되연
정말 빨랐어	완존 뽈라라
눈 감았다 떠 보니	눈 감았당 터 보난
물 속에 나만 빠져 있었어	물 쏘곱이 나만 빠졍 이서라
어떡하지	어떵허코
바다	바당
날이 정말 좋아 바다에 가서 모래밭을 맨발로 걸었네	날 막 좋앙 바당드레 강 모살밧듸 맨발로 걸엄쩌
게 한 마리가 나를 보더니 파도치는 쪽으로 도망가네	겡이 호나 나를 뵈련게 절지치는 디로 도람쩌
어쩌지 잡아 볼까 잡다 실수하면 아야 물릴 텐데.	어떵허코 잡아 보카 잡당 실수허민 아야 물릴건디
바람	보름
새	생이
엄마랑 손 꼭 잡고 용눈이 오름을 오르네	어멍이영 손 꼭 심엉 용눈이 오름 올람쩌
새 한 마리 나를 보더니 짹짹짹짹 노래를 하네	생이 호나 나를 뵈련게 짹짹짹짹 소릴 호염쩌
어쩌지 잡아 볼까 아무리 잡으려 해도 어림없을 텐데	어떵허코 잡아 보카 아맹 잡젠 해도 택도 어실건디
당신의 마음 속엔	이녁 가슴 쏘곱엔
고운 꽃들이 만발한 모양이야	고은 꽃덜이 만발혼 생이라
이렇게 말해도 빙그레 웃고	영 골아도 빙세기 웃곡
저렇게 말해도 빙그레 웃고	정 골아도 빙세기 웃곡
당신의 마음 속엔	이녁 가슴  쏘곱엔
황소 한 마리 들어앉은 모양이야	황소 혼마리 들어앉은 생이라
이렇게 말해도 잠잠	영 골아도 속솜
저렇게 말해도 잠잠	정 골아도 속솜
당신의 마음 속에 들어가 보려고	이녁 가슴  쏘곱에 들어가 보젠
욕심과 미움이 	욕심이영 미움이영 
손  불끈 잡아두고	손  불끈 잡아둠서
기웃 기웃 거려보는데	기웃 기웃 거렴신디
꿀벌과 일벌이	꿀벌이영 일벌이영 
날아다니는 걸 보니	날아 댕기는걸 보난
당신의 마음 속엔	이녁 가슴 쏘곱엔 
송이꿀보다도 더 달디단	송이꿀보다도 더 단
무언가로 꽉 들어찬  모양이야	무언가로 솜 빡혼  생이라
손짓하네	손짓햄쩌
말을 하네	말 골암쩌
테왁 메고 호미를 들어	테왁 메영 골갱이 들렁
바다와 춤을 추네	바당이영 춤을 추엄쩌
우리 엄마 우리 바다	우리 어멍 우리 바당
한 몸 되어 춤을 추네	혼몸 되엉 춤을 추엄쩌
눈물 나네 눈물이 나	눈물 남쩌 눈물 남서
우리 엄마 지켜다오	우리 어멍 지켜도라
바람은 세차게 불고	보름은 팡팡 불곡
덜 익은 조 열매가	덜 요문 조코 고리
이쪽을 보면서 인사하고	이레 배령 인사허곡
저쪽을 보면서 인사하고	저레 배령 인사허곡
나뭇가지들은 서로 다투며 잡아당기고	낭가쟁이덜은 서로 심벡허멍 좁아댕기곡
파도치는 요메기 바다엔 빈 소라가 뒹굴어 다니고	절지치는 요메기 바당엔 빈 구젱기 껍데기 둥글어 댕기곡
담위를 걸쳐친 고구마줄기에	담우이 걸쳐진 감저줄에
동글동글 매달려있는 작은고구마	동글동글 도라진 감저동가리 
이리 흔들리고 저리 흔들리고	이래 도라앉작 저래 도라앉작
워어허허 바람 바람 바람 부는 제주의 하늘아	워어허허 보름 보름 보름 부는 제주의 하늘아
먹구슬나무 꼭대기에 앉은 먹구슬 새 안 떨어지려고 나뭇가지를 꽉잡고 있고	먹쿨낭 꼭대기에 앚인 먹쿨 생이 안 털어져보잰 낭가쟁이 꽉심엉 있곡
조밭 밟는 망아지 뒤로 일어나는 흙먼지는 남의 밭으로 넘어가고	조밭 볼리는 몽생이 조름에 일어나는 흙구듬은 노미 밧더레 넘어가곡
동네 큰 팽나무 아래 땀좀식히고 가려고하면	동네 큰 폭낭 아래 검불령 가젠허민
불어오는 저 바람은 왜 그리 간질이는지	불어오는 저 보름은 무사 영 건드러운지
그래 어서 가렴	기여 혼저 가라
그래 어서 가렴	기여 혼저 가라
바람아	보름아
해녀 삼촌 다시 다시 바다 가네	해녀 삼춘 또시 또시 물에 감쩌
테왁 메고 호미 들고 잠수복 입고 뒤뚱뒤뚱	테왁 메영 골갱이 들렁 좀수복 입엉 뒤뚱뒤뚱
파도치는 바다로 가 보니	절이치는 바당더레 강 보난
테왁들이 동동동동 춤을 추네	테왁덜이 동동동동 춤을 췀쩌
해녀 삼촌들 다시 물속으로	해녀 삼춘덜 또시 물에들었쩌
숨비소리 쏟아가며 물속으로	숨비소리 쏟아가멍 또시들멘
고기처럼 홀랑홀랑 꼬릴 치네	궤기추룩 홀랑홀랑 꼬릴 췀쩌
나도 확 벗고 물속으로 뛰어들까	나도 확 벗엉 물쏘곱이 들어가보카
 테왁 들고 이쪽으로 온거 보니	테왁 들렁 이짝드레 온거 보난
성게도 가득 전복이랑 소라랑	성게도 지깍 구젱기영 전복이영
아고 이건 뭐지 문어도 잡아 왔네요	아고 이건 뭐라 물꾸럭도 잡앙 와신게
아고 삼촌 문어 한마리 얼마죠?	아고 삼촌 물꾸럭 나 얼마마씸?
아고 조카야 너는 그냥 가져가라	아고 조케야 느랑 기냥 거정가불라
에고 무슨 말씀을 그럼 저녁에 당근파다 드릴게요	에고 무신 소리꽈 게민 조냑에랑 당근파당 거정안내주마씀
 물바가지로 물 마시면 수염 안난다.	물빡으로 물먹으민 시염 안돋나. 
 갓난아이 옷을 방망이로 빨면 아기가 놀랜다.	물애기 옷을 막개로 뽈민 애기놀랜다. 
 밤에 머리 빗으면 무서움 탄다.	밤에 얼래기질 호민 모솜탄다. 
비는 자에게는 용서해 주어야 한다.	비는 놈안틴 지여사 혼다. 
 비오는 날 쇠꼬리 이리 착 저리 착 흔든다.	비 온날 쇠총지 이레 착 저레 착 혼다. 
 빈 맷돌질 하면 흉년 든다.	빈 고래질 호민 숭년 든다. 
 가난한 사람 못할 일 없다.	가난한 사람 못할 일 읏나
 까마귀가 까옥하면 참새도 조조 한다. 즉, 자기 자신을 알고 처신하라.	까메기 까옥 호민 촘새도 조조조 혼다
 까마귀 똥 헤집듯	까메기 똥 케우리듯
 까마귀 모른 제사	까메기 모른 식게
 까마귀 아래턱 떨어질 소리	까메기 알라구리 털어질 소리
 장모 눈 망가뜨릴 사위	가시어멍 눈 멜를 사위
 장모 된장 없는 터에, 사위 국 먹기 싫은 터에	가시어멍 장 읏인 깐에, 사위 국 실픈 깐에
 아내 아까우면 처가 집에 절한다.	각시 아꼬우민 처갯 칩 몰팡 돌에 절혼다.
 아내가 없는 것은 안 섭섭해도 담배통 잃는 건 더 섭섭하다.	각시 읏인 건 안 섭섭해도 남통머리 잃른 건 섭섭호다.
 아내 없는 처가집 가나 마나	각시 읏인 처갯칩 가나 마나 
 갈치가 갈치 꼬리 끓어 먹는다.	갈치가 갈치 꼴랭이 그차 먹나
 갑이년 흉년에도 먹다 남은 게 물이다.	갭인년 숭년에도 먹당 남은 게 물이여
 갓장사 헌갓 쓰고, 무당 남 빌어 굿하고	갓쟁이 헌 갓 씨곡, 심방 놈 빌엉 굿 허곡
 강아지 똥은 똥이 아닌가	강생이 똥은 똥 아니가
 개가 똥을 참지	개가 똥을 촘주
 개도 빗자루로 안 때린다.	개도 비치락으로 안 또린다.
 개똥을 무서워서 피하느냐, 더러워서 피하지	개똥을 모소왕 피 호느냐, 더러웡 피호주
 하찮은 개 똥도 약으로 쓸려면 귀하다.	개똥도 약에 쓰젠 허민 귀혼다
 건더기 먹은 놈이나, 국물 먹은 놈이나 매 한가지	건지 먹은 놈이나, 국물 먹은 놈이나 
 검은 닭도 흰 달걀 낳는 수 있다.	검은 독도 흰 독새기 난다
음식 타박 쌍놈, 글 구숭 양반자식	것 구숭 호로 조식, 글 구숭 양반 조식
 음 식을 먹을 때는 개도 안 때린다.	것 멋을 땐 개도 안 또린다
 음식을 박대하면 죄 짓는다.	것 박접허면 죄 짓나
 소라, 게도 집이 있다.	게드레기도 집이 싯나
 고운 사람은 멱서리 써도 곱다.	곤 사름은 맥을 씌어도 곱나
 고운 여자 잡아 들이라고 하니 살찐 여자 잡아 들인다.	곤 년 잡아 들이렌 허난 솔친년 잡아 들인다
 곧은 나무는 한가운데 선다.	곧은 낭은 가운디 산다
 삼태기 부지런으로 부자가 되는걸 하늘도 못막는다.	골체 부지런은 하늘도 못막나
 공짜하면 눈도 벌겋고, 코도 벌겋고	공께엥 허민 눈도 뻘겅, 코도 벌겅
 공짜는 맛이 써도 달다	공껀 씨여도 돈다.
 공부하라고 하니 개잡는걸 배운다.	공부허렌 허난 개잡는걸 뱁나
 같은 값이면 과부집 머슴을 산다.	고튼 품이민 홀어멍 칩 머슴산다.
 소라가 똥누러 가버리면 소라게가 차지 한다.	구젱기 똥누레 가불민 게드레기가 기어 든다.
 국 많이 먹으면 장모 눈 망가진다.	국 하영 먹으민 가시어멍 눈 멜라진다.
 하찮은 굼벵이라도 구부리는 재주가 있다.	굼벵이도 꿈불 재주 있나
 시집가서 귀머거리 삼년, 장님 삼년, 벙어리 삼년을 살아야 가라 오라는 말이 없다.	귀막앙 삼년, 눈 어둑엉 삼년, 말몰랑 삼년 살암서사 가렝 오렝 말 읏나
 귀신 대접 잘 해두면 잘못 될 일 없다	귀신 대접 잘 호영 그른디 읏나
 귀소문 하지 말고 눈소문 하라, 실제로 보고 확인한 것 아니면 말하지 말라.	귀소문 말앙 눈소문 호라
 귀신도 사정하면 들어 준다.	귀신도 빌민 듣나
 일가는 옷위의 바람	괸당은 옷 우이 보름
 그 날 액은 독안에 앉아도 깬다.	그 날 액은 망데기 안에 아자도 깬다
 거짓말도 외삼촌 보다도 낫다.	그짓말도 외삼춘 보다 낫나
 글 잘 못하는 놈 붓 고른다.	글 못허는 놈 붓 골린다.
글 배우라고 했더니 엉뚱하게 과부집 강아지 때린다.	글 배우렌 호난 홀어멍칩 강생일 또린다. 
기어 다니지도 못하는게 나려고 한다.	기도 못호는게 놀젱 혼다
게와 고둥도 자기 집은 있다.	깅이광 보말도 지집 싯나
 그을린 돼지가 달아멘 돼지를 나무란다.	기시린 도새기 도라멘 도새기 타령혼다.
삼태기 부지런으로 부자 되는 것은 하늘도 못 막는다.	골체 부지런은 하늘도 못막나
기왕에 같은 품삯이면 과부집 머슴을 산다.	고튼 품이민 홀 어멍칩 머슴산다.
가늘게 먹고 가늘게 쓰라	고늘이 먹곡 고늘이 쓰라
관덕정 설렁탕도 먹어본 놈이 먹는다.	관덕정이 설렁탕도 먹어난 놈이 먹나
칡 걷으러 간 놈이 정당벌레 테 엮는다.	끅 걷으레 간 놈이 정당 벌립 망 돌른다.
나간 놈 몫은 있어도 잠자는 놈 몫은 없다.	나간 놈 찍신 셔도 자는 놈 찍신 읏나
나  다니는 개가 뼈 물어 온다.	나댕기는 개가 꽝 물어 온다. 
나의 땅에 있는 까마귀는 검어도 아깝다.	나 땅 까메긴 검어도 아깝나
나가서 화목은 남자가 하고, 들어서 화목은 여자가 한다.	나서 화목은 남조가 허곡 들어 화목은 여조가 혼다.
나이  많은 사람이 양보하라.	나 한 아재비 지라.
남자가 밟은 풀은 이울고, 여자가 밟은 풀은 안 이운다.	남조가 디딘 풀은 유울곡, 여조가 디딘 풀은 안 유운다.
나무도 늙어 고목되면 새들도 아니 온다.	낭도 늙엉 고목되민 놀단 생이도 아니 온다.
나무가 좀먹지 세월은 좀 안먹는다.	낭이 좀 먹주 세월 좀 안먹나
내 딸이 고와야 잘난 사위를 고른다.	나 똘이 고와사 사윌 골른다.
너무 고르다가 눈이 멜라진 사위를 고른다.	너미 골리당 눈 까진 사윌 골린다.
노름꾼 뒤는 대어도 , 먹는 놈 뒤는 대지 말라	노름쟁이 뒤랑 대곡, 먹는 놈 뒤랑 대지말라.
노름은 끝나서 신발 신을 때 보아야 승부를 안다.	노름은 신 신을 때 봐사 안다.
노름 쟁이는 망하여도 흥하지는 못한다.	노름쟁인 망호여도 흥호진 못혼다.
노루 때린 막대기 3년을 울겨 먹는다.	노리 또린 막땡이 3년 우려 먹나
남이 숨긴건 소도 못 찾는다.	놈 곱진 것 쉐도 못 찾나
 남과 경쟁은 하되 시기는 하지 마라.	놈광 심백은 호곡, 게심이랑 허지 말라.
남이 켠 횃불에 게 잡는다.	놈 싼 훼에 깅이잡기.
남의 눈에 피 흘리게 하면, 자기 눈에는 고름이 나와야 한다.	놈이 눈에 피 내우젠 허민 이녁 눈엔 고름 나사 혼다.
남의 소 날뛰는 건 보기 좋다.	놈이 쉐 들럭키는 건 보기 좋나.
남의 흉내 내면 자기 흉 된다.	놈이 숭 털민 이녁 숭 된다.
남의 집과 벼슬 살이는 끓는 밥도 두고 간다.	놈이 집광 관장살인 궤던 밥도 내부러동 돋나.
세수 할 때에 물을 많이 사용하면 죽어서 가면 다 마셔야 한다.	놋 시칠 때에 물 하영 쓰민 죽엉 가민 다 먹어사 혼다.
애꾸눈 딸 가지고 사위를 고른다.	눈 까진 똘 고졍 사윌 고른다.
누운 나무에 열매 열리는가?	눈 낭에 요름 요는냐?
눈썹에 불이 붙어도 끌 겨를이 없다.	눈 썹에 불 붙어도 끌 조를이 읏나.
늙은 소 콩을 주면 안 받겠다고 하느냐?	늘근 쉐 콩 주엉 말덴 호느냐?
늙은 놈이 젊은 첩 하면 불 본 나비 날뛰듯 한다.	늑신네가 젊은 첩 호민 불 본 나비 놉뜨듯 혼다.
이 아픈 심부름은 하고, 눈 아픈 심부름은 하지 마라.	니 아픈 부릅씨랑 허곡, 눈 아픈 부릅씨랑 말라.
