일시,합계전천일사량(MJ/㎡),평균상대습도(%)
 2012-01,226.69,63
 2012-02,267.78,67
 2012-03,454.85,70
 2012-04,579.57,75
 2012-05,698.99,81
 2012-06,597.27,93
 2012-07,580.38,96
 2012-08,633.44,93
 2012-09,528.09,87
 2012-10,503.96,74
 2012-11,299.57,73
 2012-12,190.67,78
 2013-01,247.09,73
 2013-02,308.81,74
 2013-03,558.54,74
 2013-04,600.03,69
 2013-05,731.37,84
 2013-06,529.32,91
 2013-07,658.01,88
 2013-08,662.33,83
 2013-09,517.58,78
 2013-10,476.96,74
 2013-11,285.47,70
 2013-12,222.11,67
 2014-01,279.78,63
 2014-02,293.67,71
 2014-03,454.87,72
 2014-04,535.26,73
 2014-05,682.63,80
 2014-06,529.41,89
 2014-07,468.17,92
 2014-08,402.01,90
 2014-09,429.36,79
 2014-10,396.31,75
 2014-11,242.51,71
 2014-12,163.23,70
 2015-01,203.06,70
 2015-02,229.42,69
 2015-03,448.34,70
 2015-04,457.56,82
 2015-05,660.45,80
 2015-06,479.34,90
 2015-07,593.93,92
 2015-08,530.07,86
 2015-09,494.55,78
 2015-10,455.29,71
 2015-11,175.93,81
 2015-12,168.6,71
 2016-01,132.75,71
 2016-02,268.97,66
 2016-03,479.48,72
 2016-04,483.09,84
 2016-05,591.9,82
 2016-06,451.38,91
 2016-07,610.55,92
 2016-08,631.34,79
 2016-09,367.08,86
 2016-10,276.31,81
 2016-11,247.4,73
 2016-12,203.16,71
 2017-01,201.43,69
 2017-02,307.85,67
 2017-03,433.79,65
 2017-04,545.76,79
 2017-05,682.11,81
 2017-06,584.91,88
 2017-07,617.2,95
 2017-08,619.22,84
 2017-09,414.01,79
 2017-10,316.02,80
 2017-11,288.3,72
 2017-12,183.32,67
 2018-01,184.41,73
 2018-02,286.47,66
 2018-03,450.58,84
 2018-04,550.16,83
 2018-05,543.09,87
 2018-06,576.1,89
 2018-07,632.09,93
 2018-08,613.7,92
 2018-09,394.68,85
 2018-10,390.77,71
 2018-11,294.87,72
 2018-12,158.62,72
