분류: 지상,,,,,
요소 : 기온,,,,,
검색구분 : 월,,,,,
지역/지점명 : 제주,,,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,,,
,,,,,
,,,,,
,,,,,
일시,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃)
Jan-85,3.7,6.8,13.8,1.2,-3.1
Feb-85,6.2,8.7,13.8,3.6,-0.3
Mar-85,8.1,11.3,20.4,5,0.6
Apr-85,13.2,17.2,24.2,9.2,0.8
May-85,18.2,21.9,28.4,14.7,10.1
Jun-85,21.2,24.5,28.9,18.6,14.4
Jul-85,27,30.2,33.4,23.9,20.3
Aug-85,27.1,30.1,33.9,24.5,22.4
Sep-85,24.1,27.2,32.3,21.1,14.3
Oct-85,18.1,21.3,28.8,15.2,10.3
Nov-85,11.9,15.1,20.4,8.7,2.3
Dec-85,6,9,20,2.9,-3.6
Jan-86,4.1,6.9,12.1,1.3,-3.5
Feb-86,3.7,6.4,13.3,1.2,-1.9
Mar-86,8.6,12.2,18.2,5.3,0.2
Apr-86,13.2,16.6,23.3,9.4,4
May-86,17.1,20.9,25.8,13.3,9
Jun-86,21.6,25.3,32.4,18.6,15
Jul-86,23.8,26.8,34.3,21.5,17.2
Aug-86,26.2,29.4,33.2,23.1,20.1
Sep-86,20.9,23.7,29,18.1,13.7
Oct-86,16.3,19.9,25.8,13.1,6.1
Nov-86,11.6,14.9,20.5,8.6,5.2
Dec-86,9,12.2,20.6,5.5,0.6
Jan-87,5.9,9.5,19.7,3,-3
Feb-87,6.7,10.2,22,3.5,-2.8
Mar-87,8.3,11.7,19.5,5.2,0.8
Apr-87,12.9,16.6,24.6,9,3.9
May-87,16.9,20.5,26.3,13.5,8.9
Jun-87,21.3,25,30.7,18,14.1
Jul-87,24.7,27.6,33.9,22.3,18.9
Aug-87,26.5,29.7,35.4,23.6,20.7
Sep-87,21.7,24.7,29,18.8,13.2
Oct-87,19,22.2,27,15.7,8.5
Nov-87,13.2,17.1,24.4,9.7,3.4
Dec-87,8.1,11.5,22.2,5.1,0.2
Jan-88,6.3,9.2,17,3.4,-1.7
Feb-88,5.1,7.8,16,2.3,-2.3
Mar-88,7.9,11,18.7,4.9,-1.5
Apr-88,13.1,17.1,26.4,9.5,3.7
May-88,17.4,21.2,28.9,14.2,11.4
Jun-88,21.2,24.4,32,18.6,15
Jul-88,26,29.2,34.6,23.4,19.3
Aug-88,26,29.1,33.5,23.3,19.9
Sep-88,22.5,25.3,28.2,19.7,15
Oct-88,17.8,20.9,24.6,14.9,8.5
Nov-88,11.8,15.2,20.9,8.6,4.8
Dec-88,7.7,11.1,21.2,4.7,-0.8
Jan-89,7.2,9.7,18.2,4.8,-1.7
Feb-89,7.5,10.2,17.4,4.9,-0.4
Mar-89,9.5,12.9,20.8,6.5,0.8
Apr-89,15.1,18.8,26,11.5,5.4
May-89,17.3,20.6,26.7,14.3,10.7
Jun-89,20.1,23.6,30,17.2,13
Jul-89,25.1,28.2,33.3,22.6,17.6
Aug-89,25.7,28.5,32.5,23.3,20.6
Sep-89,22.9,26.1,31.4,20.1,15.7
Oct-89,17,20.6,24.7,13.4,9
Nov-89,12.2,15.3,25,9.1,4.1
Dec-89,8.6,11.3,18.7,6,2.3
Jan-90,5,7.7,17.2,2.5,-4.5
Feb-90,8.1,10.5,17.7,5.4,0.9
Mar-90,10.1,13.2,20.6,6.9,1.5
Apr-90,13.3,16.5,24.4,10.1,6.5
May-90,17.7,21.4,26.5,14.2,9.2
Jun-90,22.8,26.6,32.8,19.3,15.1
Jul-90,26.7,29.8,35.7,23.8,19
Aug-90,28.2,31.9,37,25.1,23.2
Sep-90,23.8,26.4,33,21.1,15.9
Oct-90,17.9,20.8,24.4,15,10.4
Nov-90,14.5,17.8,22.6,11.2,6.4
Dec-90,8.4,11.4,18.8,5.5,1.3
Jan-91,6.5,8.9,13.4,4.1,0.5
Feb-91,5.8,8.5,16,3.2,-3.3
Mar-91,9,11.7,16.6,6.4,0.5
Apr-91,13.4,16.8,24.3,10.1,2.9
May-91,17.3,20.9,30,14.2,8.6
Jun-91,22,25.1,31.4,19.3,15.5
Jul-91,25.7,29,34.4,23.1,19.4
Aug-91,24.8,27.2,33.2,22.8,20.4
Sep-91,23.1,25.8,33.6,20.6,14.3
Oct-91,17.4,20.5,23.9,13.7,9.1
Nov-91,12.1,15.4,22.2,8.9,2.6
Dec-91,8.7,11.8,18.3,5.7,0
Jan-92,7.2,9.6,16.7,4.6,0.9
Feb-92,6.8,9.8,22,3.8,0.4
Mar-92,10.3,12.8,19.5,7.9,3.2
Apr-92,14.1,18.1,23.6,10.5,6.7
May-92,17.5,21.4,29.9,14.2,9.8
Jun-92,20.1,23.4,30.7,17.3,13.7
Jul-92,26,29.5,34.5,23.3,19.8
Aug-92,26.5,29.5,33,24.3,21.4
Sep-92,23.4,26.6,33.1,20.6,15.3
Oct-92,17.4,20.5,24.5,14.4,9.9
Nov-92,12.1,15.7,23.4,8.4,0.5
Dec-92,9.6,12.5,20.1,6.4,1.9
Jan-93,5.5,7.4,13.7,3.6,-0.8
Feb-93,7.1,10.5,22.9,3.8,-0.1
Mar-93,8.9,12.6,18.6,5.6,0.7
Apr-93,13.5,17.2,28.8,9.9,2.8
May-93,17.4,20.8,31.6,14.1,9.6
Jun-93,20.9,24.7,31,18.1,14.1
Jul-93,23.7,26.8,34.5,21.6,18.6
Aug-93,24,26.6,29.5,21.9,18.7
Sep-93,22.4,25.4,31.3,19.3,15.9
Oct-93,17.3,20.3,23.7,14.2,9.2
Nov-93,13.7,16.8,22.7,10.9,2.7
Dec-93,7.6,10.7,17.8,4.6,0.5
Jan-94,6,8.9,15.3,3.1,-0.6
Feb-94,6.7,9.3,14.3,4.1,0.8
Mar-94,7.9,11.2,17.4,4.8,0.7
Apr-94,15.1,18.6,26.4,12,7.4
May-94,18.8,22.8,29,15.1,10
Jun-94,21,24.7,34.5,17.9,15.4
Jul-94,28.4,31.2,34.6,25.7,24.1
Aug-94,27.9,30.8,33.7,25.4,21.1
Sep-94,23,26.1,30.6,19.7,15.6
Oct-94,18.6,21.6,28.3,15.7,11.4
Nov-94,14.9,18,23.6,11.8,5.8
Dec-94,9.4,11.8,18.4,6.6,2.3
Jan-95,6.1,8.4,17.1,3.7,0.8
Feb-95,6.8,9.3,14.9,4.4,0.3
Mar-95,9.9,13.4,20.1,6.6,1.7
Apr-95,13,16.5,24.1,9.4,3.9
May-95,17,20.8,26.6,13,8.6
Jun-95,20.3,23,27.9,17.5,13.6
Jul-95,25.9,29.3,34.5,23.3,19
Aug-95,28.3,31.8,35.8,25.6,21.5
Sep-95,22.3,25.1,32.8,19.8,13.7
Oct-95,18.5,21.5,25,15.4,11.1
Nov-95,12.2,15.4,22.2,8.9,4.3
Dec-95,7.1,9.2,13.1,4.6,0.7
Jan-96,5.9,8.6,18,3.3,-0.7
Feb-96,4.5,7.3,20.9,1.7,-1.5
Mar-96,8.8,12.2,21.3,5.6,0.2
Apr-96,12,15.6,22.9,8.7,4.2
May-96,17.9,21.9,26.9,14.3,10.6
Jun-96,22.6,26.6,31,19.6,17.3
Jul-96,25.1,28.6,34.2,22.7,17.2
Aug-96,27.3,30,35.5,24.9,20.8
Sep-96,23.1,26.2,30.1,20.1,16.5
Oct-96,18.1,21.1,25.8,14.8,7
Nov-96,13.3,15.7,21.6,10.4,1.7
Dec-96,9.2,12.4,18.8,6,1.2
Jan-97,5.3,7.8,17.1,2.7,-0.9
Feb-97,6.8,10,22.7,3.9,-0.2
Mar-97,10.2,13.2,18.8,7.2,2.5
Apr-97,14.3,17.7,22.9,11.1,4.9
May-97,19,22.9,27.1,15.8,10.9
Jun-97,22.9,26,30,19.8,16
Jul-97,26.7,29.5,33.9,24.3,20.4
Aug-97,26.7,29.2,33.5,24.3,21.7
Sep-97,23,25.7,34.4,20.5,14.5
Oct-97,18.2,21.5,30.2,14.9,8.2
Nov-97,14.3,17.3,24.5,11.3,7.2
Dec-97,9.3,11.6,21.1,6.7,1.1
Jan-98,6.7,9,15,4.4,-2.9
Feb-98,8.8,11.7,20.3,6.1,0.3
Mar-98,9.8,12.7,20.4,6.9,3.8
Apr-98,16.1,19.8,28.5,12.9,5.5
May-98,18.8,22.4,29.9,15.6,11.6
Jun-98,21.5,24.4,30.8,19,14.5
Jul-98,27.4,30.4,34.5,24.5,22.1
Aug-98,28.2,31.3,37.4,25.5,21.1
Sep-98,24.3,26.9,29.3,21.8,19.6
Oct-98,19.7,22.6,27.7,16.9,12.4
Nov-98,13.4,16.8,23.6,9.7,5.2
Dec-98,8.9,12.1,17.7,6.1,2
Jan-99,6.8,9.5,14.3,4.1,0.3
Feb-99,7,10.2,17.9,4,-1.6
Mar-99,10.5,14,21.6,7.1,1.9
Apr-99,14.3,18.4,24.9,11,5.3
May-99,18.4,22,27.1,14.9,11
Jun-99,21.8,24.9,30.2,19,17
Jul-99,24,26.6,32.8,21.9,19
Aug-99,25.6,28,32.5,23.6,20.7
Sep-99,24.6,26.9,30.5,22.2,16.6
Oct-99,18.5,22,30.7,15.6,9.4
Nov-99,13,16,20.8,10.3,5.9
Dec-99,7.9,10.9,16.4,4.8,-1.5
Jan-00,6,8.5,17.5,3.4,-0.4
Feb-00,4.6,7.3,11.9,2.1,-1.7
Mar-00,9.4,12.9,21.2,5.9,0.9
Apr-00,13.5,17.6,26.1,9.7,4.4
May-00,17.2,21.2,26.9,13.9,9.2
Jun-00,21.6,25.1,30.9,18.7,14.7
Jul-00,26.4,29.7,36,23.8,19.8
Aug-00,28,30.9,33.2,25,23.5
Sep-00,22.2,24.6,32.8,19.7,16.3
Oct-00,18.2,21,25.7,15.5,12
Nov-00,12.4,15.5,20.9,9.6,3.5
Dec-00,8.4,11.8,17.5,5.2,0.5
Jan-01,5.6,8.4,15.1,2.8,-3.1
Feb-01,6.6,10.4,22.6,3.5,-1.3
Mar-01,9.5,13.6,21.2,5.9,-0.1
Apr-01,14.1,18,24.3,10.4,4.2
May-01,18.5,22.3,28.2,15.6,11.6
Jun-01,22.3,25.5,31,19.7,16.2
Jul-01,26.7,30.4,35.8,23.8,18.8
Aug-01,26.8,29.9,35,24.3,18.2
Sep-01,23.1,25.5,27.7,20.8,17.5
Oct-01,19.5,22.2,25.4,17,12.7
Nov-01,12.5,15.6,21,9.6,6.7
Dec-01,7.4,9.6,17.5,5.1,1.2
Jan-02,7.7,10.6,21.4,5.3,1.3
Feb-02,7.3,10.5,14.7,4,0.6
Mar-02,11.4,14.7,21,7.9,3
Apr-02,15.2,18.5,25.1,11.9,7.1
May-02,17.4,20,25.4,15.2,12.1
Jun-02,21.6,24.9,32.3,18.8,15.2
Jul-02,24.5,27.3,35,22.2,19.6
Aug-02,25.6,28.1,33.4,23.5,20.6
Sep-02,22.6,25.2,29,20.1,17.1
Oct-02,17.5,20.6,29.2,14.5,6.9
Nov-02,10.7,13.8,22.5,7.7,2.8
Dec-02,8.5,10.7,17.1,6.3,1.8
Jan-03,4.9,7.3,15.3,2.5,-2.1
Feb-03,7.2,9.8,17.1,4.4,0.3
Mar-03,9.1,12.7,21.5,6.2,1.4
Apr-03,14.1,18.6,26.7,10.8,6.6
May-03,17.9,21.4,26.7,15.1,11.1
Jun-03,21.4,24.9,28.9,18.8,16
Jul-03,24.2,27.8,34.3,21.6,17.8
Aug-03,25.9,29.3,33.9,23.5,20.7
Sep-03,23.9,27.3,33.1,21.2,17.4
Oct-03,17.6,21.3,26.5,14.7,10.3
Nov-03,14.4,17.7,23.2,11.4,3.7
Dec-03,8.3,10.9,21,5.7,1.9
Jan-04,5.5,8.4,13.6,3.2,-3.2
Feb-04,8.1,12.4,24.5,4.5,0.8
Mar-04,10,14.2,23.9,6.2,0.4
Apr-04,14.3,18.5,25.6,10.4,5
May-04,18.1,22.1,30.8,14.7,9.7
Jun-04,21.5,24.7,28.5,18.8,14.6
Jul-04,27.4,31.2,34.1,24.3,20.8
Aug-04,27.2,30.5,34.3,24.8,21.3
Sep-04,23.2,26.3,31.4,20.9,17.2
Oct-04,18.5,22,26.5,15.4,11.3
Nov-04,13.9,17.6,24,10.8,6.2
Dec-04,9.5,12.4,22.1,6.6,1.2
Jan-05,5.4,7.5,13.8,3.4,0.6
Feb-05,5.4,8,13.5,3,-1.1
Mar-05,8.4,12.2,20.6,5.1,0.1
Apr-05,15.4,19.7,30.1,11.6,7.3
May-05,18,22.1,27.5,14.7,11.8
Jun-05,23.2,26.6,33.7,20.4,16.5
Jul-05,26.9,29.7,34.5,24.7,21.2
Aug-05,27.4,30.3,34.7,24.9,20.1
Sep-05,25.1,27.9,32.2,22.8,20.2
Oct-05,19.1,22.1,29.3,16.7,11.6
Nov-05,14.2,17.3,24.8,11.1,6.8
Dec-05,6,8.6,17.8,3.5,-1.5
Jan-06,7.3,9.7,16.3,5.1,0.1
Feb-06,6.3,9.2,18.2,3.5,-1.8
Mar-06,9.7,13.3,19.8,6.3,0.6
Apr-06,13.9,17.7,29.1,10.3,7
May-06,17.6,21.1,28.3,14.5,11.5
Jun-06,21.1,24.3,30,18.4,14.1
Jul-06,25.6,28.8,33.7,23.1,19.7
Aug-06,27.9,30.9,34,25.1,22.2
Sep-06,21.7,24.2,29,19.7,17.1
Oct-06,19.9,23.5,26.7,16.6,11.5
Nov-06,14.8,17.8,25.5,12.2,7.4
Dec-06,9,11.7,18.2,6.6,2.2
Jan-07,7.2,9.3,13.1,5,2
Feb-07,9.1,12.7,18.8,5.9,0.8
Mar-07,10.8,14.5,25.3,7.5,1.7
Apr-07,13.9,17.6,23.3,10.4,3.9
May-07,18.9,22.9,29.2,15.4,12.5
Jun-07,21.5,24.4,30.7,18.9,15.1
Jul-07,24.8,27.4,34,22.6,19.7
Aug-07,28.1,31.2,33.7,25.6,23.5
Sep-07,23.3,25.7,32.7,21.3,18.7
Oct-07,18.3,21.2,26.3,15.8,10.6
Nov-07,12,15.1,19.7,9.2,3.7
Dec-07,9.6,11.8,17.7,7.5,1.7
Jan-08,6.4,8.5,18.3,4.5,0.2
Feb-08,5.1,7.8,14.8,2.6,-0.5
Mar-08,10,13.4,18.3,7,3.1
Apr-08,14.2,17.5,21.7,11.1,6
May-08,17.2,21,26.1,13.7,8.8
Jun-08,20.8,23.6,29,18.4,14.4
Jul-08,27.2,30.2,34.8,24.6,19.7
Aug-08,26.7,29.7,34,24.4,21.1
Sep-08,23.9,26.5,29.4,21.8,13.9
Oct-08,19.3,22.4,26.6,16.5,13.2
Nov-08,13,15.4,20.8,10.3,4.2
Dec-08,8.4,11.7,19,5.3,0.9
Jan-09,5.5,7.9,15.9,3,-2.5
Feb-09,8.7,11.6,22.1,5.7,0.8
Mar-09,9.8,13.4,22.6,6.3,1.2
Apr-09,13.7,17.3,21.8,10.1,4.5
May-09,18.6,22.7,29.7,14.9,11.4
Jun-09,22.6,26.1,30.7,19.6,15.7
Jul-09,25.8,28.8,33.6,23.2,18.7
Aug-09,25.6,28.2,33.4,23.4,20.5
Sep-09,22.9,25.4,28.8,20.7,18.5
Oct-09,19,22.4,26.4,15.9,13
Nov-09,12.4,15.2,23.6,10,3.4
Dec-09,7.3,9.8,15.8,4.8,-0.7
Jan-10,5.3,8.3,18.9,2.5,-2.3
Feb-10,7.3,10.5,23.3,4.4,-0.3
Mar-10,9.3,13,25.5,5.9,-1.4
Apr-10,11.8,15.2,21.2,8.6,3.8
May-10,17.3,21.2,25.9,14.1,8.9
Jun-10,21.2,24.1,27.7,18.8,14.3
Jul-10,25.9,28.9,32.2,23.5,20.9
Aug-10,28.8,32.1,35.8,26.4,24.6
Sep-10,24.2,27.2,33.9,21.6,14.8
Oct-10,17.6,20.3,26.3,15,6.8
Nov-10,11.7,15.2,22.1,8.1,3.5
Dec-10,7.1,10.3,17.8,4,-0.6
Jan-11,2.3,4.1,8,0.7,-2.8
Feb-11,7,10.1,22.3,4.2,-1.2
Mar-11,7.8,10.7,18.7,5.1,1
Apr-11,13.2,17,26.5,9.3,6.2
May-11,18.2,21.6,29.8,15.1,10.5
Jun-11,21.7,24.5,33.2,19.4,15.5
Jul-11,27.3,30.7,34.5,24.5,20.8
Aug-11,26,28.7,34.7,24.1,20.6
Sep-11,23.1,26.1,29.5,20.7,16.1
Oct-11,17.9,20.8,25.1,15,7.7
Nov-11,15.7,18.4,26.4,13.4,6.4
Dec-11,7.1,9.2,14.1,5,1.4
Jan-12,5.4,7.4,11.1,3.3,-0.1
Feb-12,4.8,7.4,11.7,2.3,-2.8
Mar-12,9,12.1,20.9,6.1,1.4
Apr-12,14.5,18.6,24.4,10.5,4.3
May-12,19,22.6,26.8,15.8,12.6
Jun-12,22.3,24.7,30.2,20.3,16.9
Jul-12,26.6,29.4,34.9,24.2,21.5
Aug-12,27.8,30.4,34.4,25.9,21.7
Sep-12,22,24.7,30.3,19.7,16.5
Oct-12,18.4,21.8,25.4,15.4,10
Nov-12,12,14.7,18.1,9.5,4.8
Dec-12,6.6,9.2,18,4.1,-0.2
Jan-13,5.6,8.2,17.4,3,-1.6
Feb-13,6.2,9.3,19,3.2,-1.8
Mar-13,10,15.2,28.1,5.9,2.3
Apr-13,13.5,17.7,26.4,9.6,5.7
May-13,18.6,22.4,27.8,15.2,10.2
Jun-13,21.7,24.6,30.8,19.7,16.3
Jul-13,28.7,32.1,36.3,25.7,20
Aug-13,29.1,32.4,35.7,26.3,22.2
Sep-13,24,26.8,29.9,21.4,16.3
Oct-13,19.2,21.9,27.1,16.7,10.6
Nov-13,12.9,15.8,23.2,9.9,3.4
Dec-13,8.1,10.6,17.2,5.6,1.8
Jan-14,6.8,10,17.4,3.5,0.1
Feb-14,7.5,10,20.6,5.1,0.1
Mar-14,10.7,13.9,20.9,7.5,1.8
Apr-14,14.8,17.8,24.6,11.9,7.6
May-14,19.1,22.8,29.6,15.7,10.1
Jun-14,21.8,24.4,29.7,19.7,17.3
Jul-14,25.1,27.8,35.2,22.9,20
Aug-14,25.1,27.4,30,23.5,20.9
Sep-14,23.5,26.2,29.1,21.1,18.1
Oct-14,19.1,22.1,27.9,16.3,12.1
Nov-14,13.9,16.5,22.5,11.5,6.9
Dec-14,7.3,9.7,14.7,4.6,1.1
Jan-15,7.4,10.2,17.5,4.9,1.2
Feb-15,7.3,10.1,17.3,4.7,-0.7
Mar-15,10.4,13.6,22.2,7.3,0.2
Apr-15,15.1,19.2,27.7,12,7
May-15,18.8,22.7,29.4,15.9,11
Jun-15,22,25.3,30.6,19.5,15.3
Jul-15,25.6,28.8,36.7,23.2,19.1
Aug-15,26.4,29.3,35.5,24.1,20.4
Sep-15,23.2,25.9,28.6,20.7,18.4
Oct-15,19.2,22.6,27.5,16.3,11.7
Nov-15,15.2,17.8,23.8,12.6,3.1
Dec-15,10,12.4,20.1,7.7,2.3
Jan-16,6.1,8.3,16.8,4.1,-5.8
Feb-16,7.3,10.6,20.5,4.5,-0.4
Mar-16,10.8,14.3,22.5,7.6,1
Apr-16,15.6,19.6,24.5,12.6,9.8
May-16,18.9,22.9,30.4,15.7,11.8
Jun-16,22.2,25.5,30.2,19.8,16.7
Jul-16,27.4,30.7,35.5,25,22.3
Aug-16,28.5,31.4,34.4,26.1,19.9
Sep-16,23.9,26.3,33,21.9,18.9
Oct-16,20.1,22.9,32.1,18.1,12.2
Nov-16,13.7,16.9,23.2,11,6.7
Dec-16,9.5,12.7,22.3,6.6,3.1
Jan-17,6.6,9.2,14.8,4.2,0.7
Feb-17,6.8,10.3,18.9,3.3,-1.1
Mar-17,9.8,13,17.9,6.9,3
Apr-17,15.7,19.5,27.6,12.4,8.5
May-17,19.5,23.6,28.1,16.1,13.6
Jun-17,22,25.3,28,19.5,16.7
Jul-17,29.2,32.7,37,26.5,23.1
Aug-17,28.7,32,35.7,26.1,22.1
Sep-17,24,27.2,32.1,21.6,18
Oct-17,19.3,21.8,27.4,16.9,9.8
Nov-17,12.6,16,24.2,9.5,5
Dec-17,7.2,9.8,15.1,4.6,0.7
Jan-18,4.9,7.3,14.4,2.4,-2.6
Feb-18,5.5,8.7,17.5,2.4,-2.5
Mar-18,11.4,15.3,23.2,8,2.8
Apr-18,15.9,19.6,26.1,12.6,5.3
May-18,19.1,23.1,31.1,16,12
Jun-18,22.3,25.6,32.3,19.8,16.2
Jul-18,27.3,30.1,35,25,19.6
Aug-18,28.8,32.1,35.3,26.4,24.4
Sep-18,23.9,26.8,31.2,21.6,18.5
Oct-18,17.9,20.9,24.7,15.2,11.6
Nov-18,13.9,17.2,20.5,10.9,7.3
Dec-18,8.7,11.2,22.9,6.7,0.2
