기온분석,,,
[검색조건],,,
자료구분 : 월,,,
자료형태 : 기본,,,
지역/지점 : 성산,,,
기간 : 1980~2018 01~12,,,
,,,
년월,평균기온(℃),최저기온(℃),최고기온(℃)
Jul-88,26.1,17.8,32.9
Aug-88,26,17.5,31.7
Sep-88,23.1,13.1,28.8
Oct-88,18.1,3.2,25.5
Nov-88,11,1.9,21.9
Dec-88,7.2,-1.5,21.9
Jan-89,7.4,-1.6,17.5
Feb-89,7.5,-2.5,19.5
Mar-89,9.2,-1.8,21.5
Apr-89,15,5.1,23.2
May-89,17.5,6.5,29.3
Jun-89,20,9.2,28.5
Jul-89,24.8,15.2,31.8
Aug-89,26,19,33.1
Sep-89,23.1,13.9,30.7
Oct-89,16.8,6.1,25
Nov-89,11.7,2.2,25
Dec-89,7.4,-1.2,19.4
Jan-90,4.3,-7,17.7
Feb-90,8.3,0.1,18.1
Mar-90,10,-2,18.9
Apr-90,12.9,-1.2,23.3
May-90,17.7,8.2,26.8
Jun-90,21.9,11.4,30.4
Jul-90,26.4,17,32.7
Aug-90,28.2,21.2,34.1
Sep-90,23.7,13.5,31.1
Oct-90,18.1,8.2,25.6
Nov-90,13.8,4.2,24.8
Dec-90,7.3,-0.4,20.2
Jan-91,5.9,-1.5,14.4
Feb-91,5.4,-4.4,15
Mar-91,9.4,0.8,18.8
Apr-91,13.5,1.7,21.3
May-91,16.6,7.3,24.7
Jun-91,21.2,13.8,29.2
Jul-91,25,17.2,32.6
Aug-91,24.8,19.3,30.8
Sep-91,23.2,15.2,31.8
Oct-91,16.7,6.6,26.1
Nov-91,11.9,2.4,22.1
Dec-91,8.7,-1.4,20
Jan-92,6.7,-0.2,16.2
Feb-92,6.2,-2.2,18
Mar-92,10.4,1.7,18.7
Apr-92,13.9,3.9,22.5
May-92,17,5.3,28
Jun-92,20,10.9,27.6
Jul-92,25,17.9,32.7
Aug-92,26.5,21,32.9
Sep-92,23.5,13.3,31.7
Oct-92,17,7.6,26.3
Nov-92,11.9,-0.2,24.5
Dec-92,8.8,-1.9,18.5
Jan-93,4.4,-2.9,14.1
Feb-93,6.1,-1.6,18.1
Mar-93,8.5,-1.6,21.3
Apr-93,12.3,0.7,23.8
May-93,16.7,8,25
Jun-93,20.1,12.2,28
Jul-93,22.5,15.4,30.1
Aug-93,23.7,17.3,29.7
Sep-93,21.7,13.6,29.3
Oct-93,16.6,5.6,24.6
Nov-93,13.5,-0.6,23.3
Dec-93,6.7,-0.8,17.5
Jan-94,5.2,-3.5,16.1
Feb-94,6,-1.5,13.7
Mar-94,7.5,-1.3,18.3
Apr-94,14.4,4.2,24.9
May-94,17.6,7.1,28.2
Jun-94,19.9,12.6,28.8
Jul-94,27.2,20.8,36.2
Aug-94,26.7,20.2,32.5
Sep-94,21.9,11.4,31.5
Oct-94,17.7,10.3,26.4
Nov-94,14,2.9,24.3
Dec-94,8.5,0.2,18
Jan-95,4.7,-4.4,16.7
Feb-95,5.8,-2.1,13.7
Mar-95,9,0.2,19.1
Apr-95,12.3,2.6,21
May-95,15.9,5.4,26.7
Jun-95,19.3,11.3,30
Jul-95,24.3,17.7,31.1
Aug-95,27.2,19.9,33.1
Sep-95,21.5,12.9,31.2
Oct-95,17.8,8.3,26
Nov-95,11,1.4,23.2
Dec-95,5.5,-2.5,13.8
Jan-96,4.6,-2.5,17.3
Feb-96,3.5,-3.9,20.5
Mar-96,8,-1.8,16.8
Apr-96,11,0.2,22.1
May-96,17.2,8.4,28.2
Jun-96,21.1,16.1,30.6
Jul-96,24.1,17.1,32.5
Aug-96,26.9,20.8,33.5
Sep-96,22.8,14.2,30.1
Oct-96,18,6.6,25.9
Nov-96,12.8,0,22.6
Dec-96,8,-0.3,18.4
Jan-97,4.2,-3.1,18
Feb-97,6.1,-2.2,20.4
Mar-97,9.9,-0.5,18.4
Apr-97,13.8,1.4,22.3
May-97,17.9,7.8,30.1
Jun-97,21.7,12.4,31.2
Jul-97,25.2,18.5,33.7
Aug-97,25.7,19,31.9
Sep-97,22.3,10.9,31.5
Oct-97,17.2,6.4,27.5
Nov-97,13.8,3.7,23.9
Dec-97,8.4,-0.7,19.5
Jan-98,5.7,-3.1,15.2
Feb-98,8.4,-1.6,19.5
Mar-98,9.8,2.5,21.9
Apr-98,15.9,5,22.9
May-98,18.4,9.4,27.8
Jun-98,20.4,12.6,28.1
Jul-98,26.2,21.1,33.7
Aug-98,27.3,19.1,33.7
Sep-98,24.4,18.3,31.7
Oct-98,19.7,9,27.4
Nov-98,12.9,0.9,25.6
Dec-98,8.2,0.2,18.9
Jan-99,6,-0.6,15.9
Feb-99,6.2,-2.3,18
Mar-99,10.1,0.9,18.8
Apr-99,13.9,3.8,25.2
May-99,17.2,6.9,25.5
Jun-99,21.2,15.5,30.1
Jul-99,23.1,18.7,30.3
Aug-99,24.7,20.3,32.3
Sep-99,24.5,15.2,31.7
Oct-99,18.3,8.1,30.1
Nov-99,12.4,3.5,22.3
Dec-99,7.1,-2.3,17
Jan-00,5.8,-2.3,17.8
Feb-00,4.2,-2.9,12.9
Mar-00,9,-2.7,19.4
Apr-00,12.8,3.5,23.5
May-00,16.9,7.1,29.1
Jun-00,21,14.4,29.9
Jul-00,26.1,20,32.5
Aug-00,27.2,20.7,33.4
Sep-00,22.2,13.8,30.2
Oct-00,18.2,9,26.5
Nov-00,12.2,1.7,22.1
Dec-00,7.7,-0.4,18.3
Jan-01,4.9,-4.8,16.6
Feb-01,5.4,-5.1,17.6
Mar-01,8.6,-1.2,22.5
Apr-01,13.4,0.1,23.1
May-01,17.9,8.1,26.8
Jun-01,20.6,13.1,31.3
Jul-01,25.7,17.7,32.7
Aug-01,26.1,17.6,32.7
Sep-01,22.8,16.6,28.2
Oct-01,18.1,10.5,25.1
Nov-01,9.5,0.6,19.8
Dec-01,4.6,-3.7,15.5
Jan-02,6.1,-2.5,17.7
Feb-02,6.3,-2.5,14.8
Mar-02,11.1,-0.5,20.5
Apr-02,15.6,5.5,24.2
May-02,18.6,12.8,28
Jun-02,21.2,13.3,29.2
Jul-02,24.1,19,31.8
Aug-02,25.2,19.2,30.7
Sep-02,22.5,14.1,29.8
Oct-02,17.5,4.4,27.2
Nov-02,11.1,2.2,22.6
Dec-02,9.6,0.8,18.2
Jan-03,5.7,-1.2,16
Feb-03,8.2,-1.7,16.8
Mar-03,10.2,2,18.8
Apr-03,15.8,5.5,24.3
May-03,19.8,11.1,29
Jun-03,22.7,14.8,30
Jul-03,25,20.3,31.6
Aug-03,27.3,22.2,33.7
Sep-03,24.9,15.8,33.3
Oct-03,17.1,6,25.2
Nov-03,14.4,2.2,23.5
Dec-03,7.2,-1.3,18.5
Jan-04,4.5,-4.8,13.1
Feb-04,7.2,-1.6,18.5
Mar-04,9.1,-2.2,19.8
Apr-04,13.7,3.4,25.2
May-04,17.5,8.6,25.5
Jun-04,21.4,12.6,29
Jul-04,25.8,18.7,35
Aug-04,27.2,21.1,33.4
Sep-04,23,15.1,29.6
Oct-04,18,9.6,26.6
Nov-04,12.9,3.2,23.1
Dec-04,8.7,-0.6,20.2
Jan-05,4.2,-1.2,14.3
Feb-05,4.6,-3.4,13.3
Mar-05,7.6,-2.7,18
Apr-05,14.3,3.7,24.5
May-05,17.6,8.3,26.7
Jun-05,22.2,15.1,31.2
Jul-05,25.9,20.5,32.7
Aug-05,26.7,18.5,34.7
Sep-05,24.9,19.6,32.4
Oct-05,18.4,9.3,28.2
Nov-05,13,3,24.6
Dec-05,4.5,-3,18.5
Jan-06,6.7,-0.8,18.7
Feb-06,5.7,-3.2,17.3
Mar-06,9.3,-1.5,20
Apr-06,13.6,4.9,23.5
May-06,16.6,8.6,24.2
Jun-06,20.3,12.1,27.2
Jul-06,24.2,19.2,31.7
Aug-06,27.3,23.3,32.4
Sep-06,22.1,17.1,28.5
Oct-06,19.7,11.8,27.3
Nov-06,14.3,4.9,24.1
Dec-06,8.5,0.2,17.3
Jan-07,6.9,0.6,14.6
Feb-07,9.1,0.5,17.7
Mar-07,10.8,1.2,19.8
Apr-07,13.8,3.7,25.1
May-07,18.4,9,27.1
Jun-07,21,15.1,28
Jul-07,24.4,18.8,32
Aug-07,27,21.2,32.7
Sep-07,23.9,17,28.8
Oct-07,18.7,9.8,27
Nov-07,12.3,1.7,20
Dec-07,9.5,0.8,18.2
Jan-08,6.5,-0.8,19.8
Feb-08,4.8,-0.7,15.1
Mar-08,10.2,0.1,18.6
Apr-08,14.3,4.6,22.6
May-08,17.6,8.1,26.5
Jun-08,20.1,11.2,25.8
Jul-08,25.9,19,32.1
Aug-08,25.5,20,32.1
Sep-08,23.2,13.3,29.1
Oct-08,18.7,9.5,26.2
Nov-08,12.4,1.4,21.6
Dec-08,8.1,0.1,18.9
Jan-09,5.3,-3.8,15.5
Feb-09,8.9,0.3,18.4
Mar-09,9.8,0.6,21.2
Apr-09,13.6,4.3,22.8
May-09,18.4,9.9,27.4
Jun-09,21,11.8,27.9
Jul-09,24.1,17.3,30.6
Aug-09,25,20.3,31.3
Sep-09,22.6,16.1,28.7
Oct-09,18.5,9,25.7
Nov-09,11.3,2,22.7
Dec-09,6.3,-1.8,15.6
Jan-10,4.5,-4,15.9
Feb-10,6.6,-2.6,17.6
Mar-10,8.5,-3.2,18.8
Apr-10,10.7,2.4,17.5
May-10,16.1,4.4,24.6
Jun-10,19.6,12.6,27.4
Jul-10,24.8,19.4,31.2
Aug-10,27.7,23.5,32.3
Sep-10,24.8,15.5,31.9
Oct-10,18.1,7.7,28.2
Nov-10,12.1,2.3,21.6
Dec-10,7.2,-1.9,20.6
Jan-11,2.4,-3.2,9.1
Feb-11,7.4,-3.8,18.6
Mar-11,7.6,-1.6,18.5
Apr-11,13.1,3.3,22.5
May-11,18,9.3,25.9
Jun-11,20.9,15.3,27.9
Jul-11,26.1,20.4,33.1
Aug-11,25.5,20.7,32
Sep-11,23.5,15.8,30.7
Oct-11,17.9,6.7,25.6
Nov-11,16,3.4,25.7
Dec-11,6.3,-2.8,14.9
Jan-12,5,-1.2,13
Feb-12,4.9,-3.6,13.2
Mar-12,9.2,0.5,19.6
Apr-12,14.4,1.5,22.8
May-12,18.6,9.6,28.1
Jun-12,21.6,16.2,27.7
Jul-12,25.6,19,32.4
Aug-12,27.4,21.8,33
Sep-12,22,14.2,29.4
Oct-12,18.3,9.2,25.4
Nov-12,11.4,2.5,19.3
Dec-12,6,-1.9,17.6
Jan-13,4.9,-2.5,16.2
Feb-13,5.9,-3.5,16.9
Mar-13,9.9,0.1,22.7
Apr-13,13.1,3.7,22.3
May-13,18.3,8.5,28.2
Jun-13,21.1,15.9,27.2
Jul-13,26.9,21.7,33.1
Aug-13,28.3,21,34
Sep-13,24,16.4,31.5
Oct-13,19.4,7.6,28.3
Nov-13,11.9,0.9,23.4
Dec-13,6.9,-1.2,16.8
Jan-14,6,-2.2,19.1
Feb-14,7.2,-1.2,19.3
Mar-14,10.4,-0.6,22.4
Apr-14,14.4,4.2,22.4
May-14,18.1,6.2,30.6
Jun-14,20.8,14,29.5
Jul-14,24.5,19.5,31.1
Aug-14,24.8,20.3,29.8
Sep-14,23.5,16.6,29.8
Oct-14,18.8,9.8,25.4
Nov-14,13.3,4.2,23
Dec-14,5.9,-2.7,16.2
Jan-15,6.3,-1,16.5
Feb-15,6.4,-2.8,17.6
Mar-15,9.4,-0.6,20.9
Apr-15,13.9,2.9,22.7
May-15,18,7.6,25.7
Jun-15,20.6,11.1,28.5
Jul-15,23.9,15.4,32.9
Aug-15,25.9,19,31.9
Sep-15,22.5,16.8,29.5
Oct-15,18.2,8.4,25.9
Nov-15,14.6,1.1,23
Dec-15,9.2,0.5,18.7
Jan-16,5,-6.9,17.5
Feb-16,6.4,-2,18.1
Mar-16,10.1,-0.1,19.2
Apr-16,15.2,8.3,24.2
May-16,18.2,10.3,27.6
Jun-16,21.5,15.6,27.7
Jul-16,26.1,21.2,33.2
Aug-16,27.9,19.7,35.3
Sep-16,23.4,17.9,29.3
Oct-16,19.8,11,29.5
Nov-16,13.1,4.6,24.3
Dec-16,9,0.3,20.1
Jan-17,6,-1.2,16.4
Feb-17,6,-3.8,17.3
Mar-17,9.1,-1.4,17.8
Apr-17,15.1,5.5,28.1
May-17,18.5,9.6,27.7
Jun-17,21.7,13.8,29
Jul-17,27.5,22.3,34.3
Aug-17,27.5,20.1,34.2
Sep-17,23.5,14.8,31.4
Oct-17,18.9,9,27.4
Nov-17,11.7,3,23.9
Dec-17,5.8,-1.4,16.5
Jan-18,4,-3.7,15.7
Feb-18,4.7,-3.8,15.7
Mar-18,10.6,1.7,20.9
Apr-18,15,0.5,24.6
May-18,17.9,6.7,25.5
Jun-18,21.3,13.1,28.7
Jul-18,26.2,19.8,34.6
Aug-18,27.6,22.3,34.7
Sep-18,23.1,15.5,29.7
Oct-18,16.6,7.9,25
Nov-18,13,3.8,21.6
Dec-18,7.9,-1,22.1
