분류: 지상,,,
요소 : 기온,,,
검색구분 : 월,,,
지역/지점명 : 서귀포,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,
,,,
,,,
,,,
일시,평균기온(℃),평균최고기온(℃),평균최저기온(℃)
Jun-88,21.7,24.9,19.1
Jul-88,26.3,29.3,23.9
Aug-88,26.3,29.7,23.2
Sep-88,23.6,27.2,20.5
Oct-88,19,23.9,15.1
Nov-88,12.6,17.6,8.5
Dec-88,8.8,13.2,5.2
Jan-89,8.6,12.3,5.7
Feb-89,8.6,12,5.5
Mar-89,10.5,14.9,6.8
Apr-89,15.9,20.2,12.4
May-89,18.1,22,14.7
Jun-89,20.5,24,17.6
Jul-89,25.1,27.9,22.9
Aug-89,26.1,29.1,23.5
Sep-89,23.9,27,20.9
Oct-89,18.2,22.7,14.2
Nov-89,13.6,17.5,10.3
Dec-89,9.7,14.1,6.2
Jan-90,6.2,9.8,2.8
Feb-90,9.8,13.2,6.8
Mar-90,11.3,14.9,7.9
Apr-90,13.8,17.5,10.4
May-90,18.6,21.8,15.5
Jun-90,22.1,24.7,19.8
Jul-90,26.5,29.2,24.2
Aug-90,28.5,31.7,25.5
Sep-90,24.2,27.3,21.1
Oct-90,18.9,23.4,15.4
Nov-90,15.6,19.7,11.9
Dec-90,9.1,13.2,5.6
Jan-91,7.3,11.1,4.1
Feb-91,6.6,10.4,3.1
Mar-91,10.6,14,7.6
Apr-91,14.4,18,10.9
May-91,17.3,20.5,14.3
Jun-91,21.4,23.7,19.2
Jul-91,25.3,27.3,23.5
Aug-91,25.7,29,23
Sep-91,23.6,26.9,21
Oct-91,18,22.7,14.1
Nov-91,13.5,17.9,9.7
Dec-91,10.2,14.5,6.9
Jan-92,8,11.9,4.6
Feb-92,7.6,12.1,4
Mar-92,11.2,14.6,8.5
Apr-92,14.9,19.2,11.1
May-92,17.9,21.8,14.3
Jun-92,21,24.3,17.9
Jul-92,25.3,27.8,23.3
Aug-92,26.9,30.2,24.1
Sep-92,24.3,28,21.3
Oct-92,18.2,23,14.5
Nov-92,13.3,17.7,9.3
Dec-92,10.2,14.4,6.7
Jan-93,6.7,10.4,3.8
Feb-93,7.9,12.4,4.3
Mar-93,9.7,14.1,6
Apr-93,13.6,18.1,9.6
May-93,17.9,21.4,14.8
Jun-93,21,24,18.5
Jul-93,23.6,26.2,21.9
Aug-93,24.8,27.8,22.4
Sep-93,22.7,26.4,19.8
Oct-93,18.1,22.5,14.7
Nov-93,14.6,18.6,11.6
Dec-93,8.6,13,5.2
Jan-94,7.2,11.5,3.8
Feb-94,7.8,12,4.6
Mar-94,9,13.4,5.4
Apr-94,15.3,18.6,12.4
May-94,19,22.2,15.6
Jun-94,21.4,24.5,18.7
Jul-94,28.6,31.7,25.8
Aug-94,27.6,30,25.4
Sep-94,23.6,27.5,20.3
Oct-94,19.3,23.2,16.1
Nov-94,15.7,19.8,12.4
Dec-94,10.7,14,7.8
Jan-95,6.6,10.4,3.5
Feb-95,7.6,11.7,4.2
Mar-95,10.2,13.9,6.8
Apr-95,13.7,17,10.2
May-95,17.4,20.5,14.1
Jun-95,20.5,23.5,18
Jul-95,24.9,27,23.3
Aug-95,27.9,30.4,25.7
Sep-95,23.1,26.2,20.5
Oct-95,19.5,23.2,16.4
Nov-95,13,17.2,9.3
Dec-95,7.8,11.5,4.8
Jan-96,7.2,10.8,4.2
Feb-96,6.1,9.5,3
Mar-96,9.5,13.1,6.4
Apr-96,12.8,16.3,9.4
May-96,18.4,21.6,15
Jun-96,21.8,24,20.1
Jul-96,25.1,27.2,23.3
Aug-96,27.5,30.4,25.1
Sep-96,23.8,27.4,20.7
Oct-96,19.4,23,16.2
Nov-96,14.6,17.8,11.6
Dec-96,9.5,13.6,5.9
Jan-97,6.1,9.9,2.8
Feb-97,8,11.4,4.7
Mar-97,11.4,14.8,7.9
Apr-97,14.7,17.9,11.5
May-97,18.8,21.7,15.9
Jun-97,22.8,25.6,20.1
Jul-97,25.4,27.7,23.5
Aug-97,26.3,28.8,24.2
Sep-97,23.3,26.7,20.5
Oct-97,18.8,22.8,15.4
Nov-97,15.4,18.7,12.4
Dec-97,10.1,13.3,7.2
Jan-98,6.9,9.9,4
Feb-98,9.7,13.1,6.6
Mar-98,10.9,14.4,7.6
Apr-98,16.7,19.2,14.1
May-98,19.7,22.4,17
Jun-98,21.2,23.4,19.2
Jul-98,26.2,28.4,24.5
Aug-98,27.5,29.8,25.4
Sep-98,25,28.3,22.3
Oct-98,20.3,23.5,17.5
Nov-98,14.9,18.8,11.3
Dec-98,10.7,14.8,7.4
Jan-99,7.7,11.5,4.4
Feb-99,7.8,11.4,4.5
Mar-99,11.6,14.7,8.6
Apr-99,15.4,18.6,12.3
May-99,18.3,21.7,15.2
Jun-99,21.6,24.6,19.3
Jul-99,23.6,26.4,21.8
Aug-99,25.3,27.9,23.5
Sep-99,25,28,22.8
Oct-99,19.9,23.9,16.7
Nov-99,14.1,18.1,10.8
Dec-99,8.8,12.8,5.5
Jan-00,8.1,11.3,5.1
Feb-00,6.4,10.2,2.9
Mar-00,11,14.7,7.3
Apr-00,14.8,18.7,11.2
May-00,18.6,22.2,15.4
Jun-00,22.4,25.1,20.2
Jul-00,27.2,29.8,25.1
Aug-00,28.3,31.1,25.9
Sep-00,23.8,27,21.3
Oct-00,20.3,23.8,17.4
Nov-00,14.7,18.4,11.2
Dec-00,10.6,14.2,7
01-Jan,7.1,10.7,3.8
01-Feb,8.6,12.1,5.4
01-Mar,11.2,15.2,7.5
01-Apr,15.7,19.4,12.1
01-May,19.8,23.1,17
01-Jun,22.2,24.9,20.2
01-Jul,27.4,30.3,24.9
01-Aug,27.9,31.3,25.3
01-Sep,24.4,27.7,21.9
01-Oct,20.9,24.4,17.8
01-Nov,14.2,18.4,10.8
01-Dec,9.2,12.4,6.4
02-Jan,9.1,12.7,6
02-Feb,9.7,13.8,6.2
02-Mar,13,16.6,9.4
02-Apr,15.9,19.3,12.9
02-May,19.2,22.7,16.3
02-Jun,22.5,26,19.5
02-Jul,25.4,28.5,23.2
02-Aug,26.7,29.5,24.5
02-Sep,23.9,27.5,20.8
02-Oct,19.2,23,15.8
02-Nov,12.5,16.5,8.9
02-Dec,10.3,13.9,7.4
03-Jan,6.2,10,2.6
03-Feb,9.3,13,5.9
03-Mar,11.1,14.7,7.8
03-Apr,16,19.8,12.9
03-May,19.4,22.6,16.7
03-Jun,22.5,25.9,19.9
03-Jul,24.6,27,22.8
03-Aug,27.7,30.8,25.1
03-Sep,25.6,28.9,22.9
03-Oct,19.5,23.8,15.9
03-Nov,17.1,20.7,14
03-Dec,9.9,13.6,6.4
04-Jan,7.2,11.3,3.8
04-Feb,9.9,13.6,6.3
04-Mar,11.8,15.9,8.3
04-Apr,16.1,20.1,12.3
04-May,19.3,22.5,16.5
04-Jun,23.6,26.8,20.8
04-Jul,27.3,30.2,25
04-Aug,28.9,32.3,26.3
04-Sep,24.8,28,22.2
04-Oct,19.5,23.6,15.9
04-Nov,14.4,18.7,11
04-Dec,10.9,14.6,7.5
05-Jan,5.8,9.4,2.9
05-Feb,6.5,9.8,3.3
05-Mar,8.9,13.1,5
05-Apr,14.9,18.6,11.5
05-May,18.1,21.9,14.5
05-Jun,22.3,25.4,19.8
05-Jul,25.6,28.5,23.5
05-Aug,26.2,29,23.9
05-Sep,24.8,28,22.7
05-Oct,19.7,23.4,16.7
05-Nov,15.1,19.3,11.6
05-Dec,6.6,10.2,3.1
06-Jan,8.3,11.9,5.3
06-Feb,8,11.4,4.7
06-Mar,11,15,7.1
06-Apr,14.9,18.8,11.6
06-May,17.8,21.5,15
06-Jun,21.6,24.6,19.3
06-Jul,25.4,27.9,23.6
06-Aug,28.6,31.7,26
06-Sep,23.1,26.9,20.7
06-Oct,21.1,25.4,17.7
06-Nov,15.5,19.4,12.2
06-Dec,9.9,13.7,6.7
07-Jan,7.9,11.9,4.9
07-Feb,10.2,14.2,6.4
07-Mar,11.5,15.3,8.1
07-Apr,14.9,19.2,11
07-May,19.4,23.5,16.1
07-Jun,21.8,25,19.5
07-Jul,25.4,28.5,23
07-Aug,28.2,31.3,25.7
07-Sep,25.1,28.3,22.7
07-Oct,20.1,23.9,17.2
07-Nov,13.9,18.1,10
07-Dec,10.3,13.8,7.4
08-Jan,7.8,11.2,5.2
08-Feb,6,9.9,2.4
08-Mar,11.1,15.1,7.5
08-Apr,15.2,18.6,12
08-May,18.6,22.3,15.2
08-Jun,20.8,23.2,18.8
08-Jul,27.2,30.3,25
08-Aug,27.1,30.8,24.3
08-Sep,24.7,27.9,22.3
08-Oct,20.7,24.7,17.5
08-Nov,14,17.9,10.7
08-Dec,9.8,13.6,6.3
09-Jan,6.7,9.9,3.7
09-Feb,10.8,14.1,8
09-Mar,11.7,15.4,8
09-Apr,15.2,19.2,11.4
09-May,20,24.1,16.4
09-Jun,22.1,25.1,19.7
09-Jul,25.5,28,23.5
09-Aug,26.6,29.5,24.5
09-Sep,24.5,27.9,21.8
09-Oct,20.6,24.8,17.2
09-Nov,13.8,17.4,10.9
09-Dec,8.9,12.7,5.7
10-Jan,7.5,11.2,4.2
10-Feb,9.3,12.3,6.2
10-Mar,10.8,14.2,7.2
10-Apr,13.3,16.7,10.4
10-May,18.3,21.9,15.5
10-Jun,22,25.1,19.8
10-Jul,25.9,28.7,24
10-Aug,28.3,30.9,26.1
10-Sep,25.5,28.8,23.2
10-Oct,19.5,23.1,16.4
10-Nov,14,18.1,9.8
10-Dec,8.9,12.5,5.3
11-Jan,4,7.3,1
11-Feb,9,12.7,5.7
11-Mar,9.3,13.1,5.8
11-Apr,14.2,18.1,10.6
11-May,18.7,21.9,16.2
11-Jun,21.7,24.1,19.8
11-Jul,26.7,29.2,24.8
11-Aug,26.3,29,24.7
11-Sep,25.1,28.3,22.2
11-Oct,19.9,23.5,16.9
11-Nov,17.2,20.7,14.4
11-Dec,8.3,12,5.2
12-Jan,6.8,10.2,4
12-Feb,6.6,9.7,3.6
12-Mar,10.8,14.1,7.6
12-Apr,15.5,19,12
12-May,19.9,23.7,16.8
12-Jun,22.4,25.4,20.2
12-Jul,26.1,28.6,24.1
12-Aug,27.9,30.6,25.7
12-Sep,23,26.6,20.3
12-Oct,19.7,23.7,16.3
12-Nov,13.2,16.7,10
12-Dec,7.9,11.5,4.8
13-Jan,7,10.5,3.7
13-Feb,8.5,11.9,5
13-Mar,12.2,16.2,7.9
13-Apr,14.3,18.4,10.5
13-May,19.2,22.9,16
13-Jun,22.2,25.1,20.1
13-Jul,27.3,29.8,25.8
13-Aug,29.1,32.2,26.6
13-Sep,25.4,29,22.4
13-Oct,21.1,24.9,18
13-Nov,13.9,17.5,10.4
13-Dec,8.7,12.6,5.5
14-Jan,8.2,11.9,4.6
14-Feb,8.6,12.1,5.8
14-Mar,11.9,15.4,8.6
14-Apr,15.7,19.6,12.5
14-May,19.5,23.6,16.1
14-Jun,21.6,24.7,19.3
14-Jul,25.3,28.2,23.2
14-Aug,25.5,28.1,23.5
14-Sep,24.3,27.5,21.6
14-Oct,20.1,23.8,17
14-Nov,15,19,11.8
14-Dec,7.7,11.4,4.3
15-Jan,8.4,12,5
15-Feb,8.1,12,4.9
15-Mar,11.1,14.9,7.6
15-Apr,15,18.4,12.2
15-May,19,22.9,16
15-Jun,21.2,24,19.1
15-Jul,24.2,26.9,22.3
15-Aug,26.2,29,23.9
15-Sep,22.8,25.9,20.2
15-Oct,18.9,22.8,15.3
15-Nov,15.4,18.2,12.6
15-Dec,10.1,13.1,7.1
16-Jan,6.2,9.3,3.4
16-Feb,7.4,10.9,4.2
16-Mar,11.1,14.6,7.7
16-Apr,15.8,19.4,12.9
16-May,18.9,22.1,15.9
16-Jun,21.7,24.3,19.5
16-Jul,25.8,28.1,24
16-Aug,27.7,30.7,25.1
16-Sep,23.7,26.4,21.4
16-Oct,20.4,23.2,18.2
16-Nov,14.6,17.9,11.6
16-Dec,10.4,13.9,7.2
17-Jan,7.5,11,4.4
17-Feb,7.9,11.8,4
17-Mar,10.3,13.8,6.8
17-Apr,15.7,19.1,12.7
17-May,19.2,22.9,16.2
17-Jun,22.1,25.1,19.6
17-Jul,27.5,30,25.7
17-Aug,28.2,31.4,25.7
17-Sep,24.2,27.4,21.7
17-Oct,19.8,22.9,17.1
17-Nov,13.8,17.3,10.2
17-Dec,7.3,10.9,4.2
18-Jan,5.9,9.2,2.8
18-Feb,6.3,9.7,3
18-Mar,11.8,15.3,8.3
18-Apr,15.8,19.6,12.6
18-May,18.7,21.8,16.2
18-Jun,22,25,19.5
18-Jul,26.7,29.4,24.7
18-Aug,27.8,30.3,25.9
18-Sep,23.5,26.6,20.9
18-Oct,17.8,21.6,14.5
18-Nov,14.5,18.3,11.1
18-Dec,9.8,12.8,7
